ID,LON,LAT
1,-80.9585,24.6976
2,-80.9387,24.7022
3,-80.3147,25.1397
4,-80.642,24.8317
5,-80.6408,24.8322
6,-80.4708,24.9463
7,-80.3959,25.0178
8,-80.4702,24.9463
9,-80.3712,25.0404
10,-80.4555,25.0036
11,-80.4629,24.9899
12,-80.4845,24.9375
13,-80.4935,24.957
14,-80.6511,24.8254
15,-80.1674,25.3859
16,-80.4678,24.9879
17,-80.415,25.0096
18,-80.1674,25.3859
19,-80.1674,25.3859
20,-80.1674,25.3859
21,-80.1674,25.3859
22,-80.6709,24.8123
23,-80.44,25.0183
24,-80.2949,25.14
25,-80.1674,25.3859
26,-82.9201,24.6185
27,-82.9053,24.6324
28,-82.8934,24.6499
29,-80.422,25.0137
30,-80.422,25.0137
31,-80.422,25.0137
32,-80.422,25.0137
33,-80.422,25.0137
34,-80.422,25.0137
35,-80.422,25.0137
36,-80.1015,25.7602
37,-80.1001,25.7611
38,-80.0993,25.7596
39,-80.1004,25.7604
40,-80.0998,25.7615
41,-80.1022,25.7601
42,-80.0994,25.7591
43,-81.379,24.6144
44,-81.5363,24.5225
45,-81.4079,24.5615
46,-81.6407,24.5298
47,-81.5769,24.5215
48,-81.4376,24.5532
49,-81.5101,24.5572
50,-80.7349,24.7789
51,-80.9581,24.6977
52,-80.6644,24.8153
53,-80.2947,25.13
54,-80.4193,24.9862
55,-80.6516,24.8256
56,-80.4694,24.9856
57,-80.4924,24.9574
58,-80.44,25.0183
59,-80.6561,24.8216
60,-80.6684,24.8136
61,-82.8737,24.6338
62,-82.8974,24.6191
63,-82.9204,24.6191
64,-82.9052,24.6323
65,-80.422,25.0137
66,-80.422,25.0137
67,-80.422,25.0137
68,-80.0999,25.7615
69,-80.0996,25.7601
70,-81.3265,24.5686
71,-81.3265,24.5686
72,-81.4134,24.5591
73,-81.499,24.5274
74,-81.5332,24.5484
75,-81.5768,24.5217
76,-81.4983,24.5275
