ID	LON	LAT
1	9.05	48.52
2	9.04	48.53
3	25.74	44.46
4	21.95	46.11
5	34.3814	44.6419
6	70.05	41.45
7	70.05	41.45
8	70.05	41.45
9	45.3622	39.8692
10	48.5594	38.9786
11	48.6131	38.7406
12	48.7992	38.6536
13	71.3	37.29
14	21.46	44.34
15	20.16	44.84
16	14.05	55.3833
17	16.5	49.17
18	7.7667	48.0333
19	7.765567	48.02838
20	14.05	55.3833
21	14.1333	55.7167
22	14.1333	55.7167
23	14.1333	55.7167
24	14.1333	55.7167
25	14.1333	55.7167
26	-4.06667	48.5167
27	16.5167	56.7
28	16.5167	56.7
29	17.0167	59.4333
30	17.0167	59.4333
31	16.8667	59.5667
32	16.8667	59.5667
33	-4.06667	48.5167
34	34.12	62.02
35	34.12	62.02
36	35.11	61.59
37	35.11	61.59
38	34.24	61.94
39	34.24	61.94
40	18.3667	63.0833
41	61.37	61.37
42	14.72665	48.3315333
43	14.7158667	48.3314667
44	14.7158667	48.3314667
45	3.93333	47.35
46	32.09	60.4
47	30.63	61.57
48	14.7181667	48.3268333
49	14.7181667	48.3268333
50	14.7181667	48.3268333
51	-1.16667	44.65
52	4.11667	46.6667
53	4.11667	46.6667
54	16.2667	49.3667
55	16.3497	49.4211
56	16.2815	49.4112
57	16.232	49.403
58	15.5	47
59	-4.9	50.4
60	-4.9	50.4
61	-4.9	50.4
62	-4.9	50.4
63	-4.9	50.3
64	-4.9	50.3
65	-4.8	50.3
66	-4.7	50.4
67	-4.5	50.5
68	0.5	51.3
69	0.5	51.3
70	-1.7	52.2
71	0.4	51.3
72	0.3	51.2
73	0.4	51.2
74	0.3	51.2
75	0.6	51.1
76	1.1	51.3
77	1.1	51.3
78	0.4	51.1
79	-3	54.5
80	-3	54.4
81	-3.3	54.6
82	-3.4	54.7
83	-2.9	54.4
84	-2.9	54.4
85	-3.2	54.6
86	-3.4	57
87	-1.6	53.3
88	1.1	51.3
89	-4.1	56.6
90	-4.4	56
91	-2.3	54.6
92	-1.5	54.1
93	-2.3	54.1
94	-1.3	52.9
95	-3.1	51
96	-5.2	56.4
97	-3.3	53.1
98	-5.5	57.4
99	-3.1	52.9
100	-5.98333	56.7333
101	15.9667	56.3333
102	15.9667	56.3333
103	15.9667	56.3333
104	13.51	55.86
105	16.2326	49.4013
106	17.4914	63.0167
107	18.0165	62.6814
108	14.12	55.76
109	14.12	55.76
110	16.2815	49.4112
111	16.2815	49.4112
112	16.2815	49.4112
113	16.2815	49.4112
114	16.2815	49.4112
115	16.2815	49.4112
116	16.2815	49.4112
117	16.2815	49.4112
118	16.2	49.1
119	18.177	62.877
120	18.177	62.877
121	18.177	62.877
122	18.177	62.877
123	18.177	62.877
124	18.4	62.9
125	18.4	62.9
126	14.29	56.06
127	14.29	56.06
128	14.29	56.06
129	14.29	56.06
130	13.3712	55.7509
131	13.3712	55.7509
132	17.7339	62.6437
133	18.1896	62.806
134	13.74	56.1
135	13.74	56.1
136	13.74	56.1
137	13.74	56.1
138	13.74	56.1
139	13.4	55.66
140	14.775	56.0328
141	13.9	56.09
142	18.079	62.801
143	18.079	62.801
144	18.2763	62.9513
145	18.2763	62.9513
146	18.3448	62.9308
147	18.3448	62.9308
148	15.8155	56.1481
149	16.1408	56.4573
150	13.4504	55.6942
151	13.4504	55.6942
152	13.2145	55.7097
153	11.2	58.9
154	16.1284	56.4666
155	16.1284	56.4666
156	13.2197	55.6525
157	13.215	55.6525
158	13.2233	55.6514
159	13.2147	55.6494
160	13.2161	55.6486
161	13.2225	55.6472
162	13.2264	55.6481
163	13.2178	55.6561
164	13.2386	55.6575
165	13.2	55.6
166	13.2	55.6
167	13.2	55.6
168	13.2	55.7
169	13.1211	55.7967
170	13.1186	55.7931
171	13.1222	55.7942
172	13.1206	55.7989
173	13.1233	55.7936
174	13.1219	55.7989
175	13.1044	55.7967
176	13.1028	55.8078
177	13.1342	55.8097
178	13.1367	55.8
179	13.2	55.7
180	13.2	55.7
181	13.3075	55.8364
182	13.3033	55.8369
183	13.3092	55.8378
184	13.3106	55.8403
185	13.3047	55.8411
186	13.2881	55.8397
187	13.3181	55.8369
188	13.3186	55.8386
189	13.2906	55.8364
190	13.2906	55.8383
191	13.5519	55.9336
192	13.5603	55.9419
193	13.5511	55.9403
194	13.5539	55.9392
195	13.5542	55.9414
196	13.5558	55.9428
197	13.5533	55.9497
198	13.5508	55.9319
199	13.5481	55.9281
200	13.5319	55.9261
201	13.2244	55.6528
202	17.7422	62.6425
203	17.7406	62.6422
204	17.7356	62.6425
205	17.7372	62.6425
206	18.3447	62.8714
207	18.3436	62.8717
208	18.3419	62.8717
209	18.3422	62.8719
210	17.69	62.6322
211	17.6906	62.6322
212	18.4522	62.8892
213	14.1386	55.7683
214	14.1383	55.7686
215	14.1375	55.7689
216	14.1369	55.7692
217	14.1347	55.7694
218	14.1342	55.7706
219	14.1342	55.7708
220	14.1331	55.7708
221	14.1211	55.7719
222	14.1206	55.7717
223	14.1208	55.7714
224	18.1842	62.8836
225	18.1836	62.8839
226	18.3281	63.0175
227	18.3283	63.0167
228	18.3283	63.0169
229	18.3283	63.0172
230	18.1896	62.806
231	18.1896	62.806
232	18.2844	62.96
233	18.3589	62.9611
234	18.35	62.9619
235	18.35	62.9619
236	18.35	62.9622
237	18.3608	62.9614
238	13.2	55.7
239	13.90045	56.27373
240	18.4728	62.9169
241	14.3336	55.5796
242	14.3336	55.5796
243	14.3336	55.5796
244	14.3336	55.5796
245	14.3336	55.5796
246	14.3336	55.5796
247	16.6314	49.2771
248	16.6314	49.2771
249	16.6314	49.2771
250	13.97	56.06
251	16.2544	49.3853
252	16.2544	49.3853
253	16.2544	49.3853
254	6.4333	51.85
255	73.1	49.5
256	1.3	45
257	4.4	51.2167
258	18.484	63.324
259	18.484	63.324
260	16.2326	49.4013
261	16.6166	49.2
262	-0.6383	51.4083
263	-0.6383	51.4083
264	18.177	62.877
265	6.3	50.3
266	18.3174	63.0165
267	18.3174	63.0165
268	8	50.3
269	9.9355	51.5338
270	8	50.3
271	-0.6383	51.4083
272	-0.6383	51.4083
273	68.49	38.48
274	73.1	49.5
275	10.8719	47.984
276	2.49	41.59
277	37.6322	55.7522
278	8.3	50.3
279	-0.6383	51.4083
280	-0.6383	51.4083
281	4.45	52.24
282	16.36	49.42
283	16.36	49.42
284	16.36	49.42
285	3.3	46
286	-1.41	48.5
287	-1.41	48.5
288	-3.53333	38.3333
289	68.48	38.35
290	-0.6383	51.4083
291	-0.6383	51.4083
292	23.5	60
293	23.5	60
294	2.93056	41.7194
295	2.93056	41.7194
296	13.9707	56.0648
297	13.9707	56.0648
298	14.45	48.3
299	14.45	48.3
300	8.26	47.25
301	30	52.3
302	9.3	52.3
303	16.2544	49.3853
304	-2.2207	57.1539
305	7.62551	48.0683
306	-2.4333	54.8
307	5.73	53.448
308	5.3	50.3
309	5.5833	51.8333
310	9.57073	50.9167
311	6.1	51.3333
312	7.5	47.5
313	5.675	52
314	13.287	52.4584
315	-4.79821	56.5459
316	11.3396	44.5041
317	-3.2667	54.4
318	9.3166	49.5166
319	8.6667	50.0167
320	9.5	50.5
321	-6.2	54.1
322	-1.64293	53.2699
323	8.26607	50.2981
324	-13.4811	29.2144
325	1.1	51.3
326	15	37.3
327	12.1	42
328	1.33867	48.0717
329	34.7361	53.7502
330	-8.25	40.12
331	-8.42639	40.2077
332	2.823	49.416
333	8.65081	49.8724
334	5.04278	47.3239
335	8.2372	50.7224
336	16.2667	49.4167
337	13.7336	51.051
338	-1.5733	54.7761
339	0.5	51.3
340	-3.16028	55.9494
341	9.68253	51.5105
342	8.5	50
343	8.5	50
344	11.0087	49.5955
345	24.5682	60.1997
346	24.9871	58.6656
347	2.56481	44.6447
348	8.6822	50.1102
349	8.0167	50.5
350	5.86667	51.0167
351	8.67825	50.584
352	15.5	47
353	10.5	53.5
354	9.44	52.24
355	9.73569	52.3721
356	12.5686	55.675
357	8.28844	51.3472
358	9.88682	54.4175
359	15	49
360	11.587	50.927
361	77	35
362	23.8924	54.8969
363	-5.66364	55.6395
364	6.9666	50.95
365	8.50861	50.1797
366	11.5722	49.631
367	-3.78181	55.6739
368	15.2333	52.7333
369	10.8719	47.984
370	0.5	48
371	4.49015	52.1611
372	8.0666	50.3833
373	8.0666	50.3833
374	8.26664	50.001
375	10.1138	51.9183
376	7.5	50.95
377	8.5	50.5
378	10.981	52.6969
379	13.2995	51.0581
380	8.5833	50.2
381	8.2	53.1667
382	8.01161	50.3827
383	8.42255	53.3422
384	6.193019	60.385543
385	29	59
386	10.51	47.04
387	10.6065	53.476
388	-2.96591	48.0653
389	-3.41697	54.3512
390	5.56667	51.9667
391	12.1	42
392	1.09849	49.4424
393	34	56.3
394	38.28	49
395	3.03333	41.7833
396	3.03333	41.7833
397	11.5614	46.5438
398	8.02341	50.8738
399	-3.00733	53.6473
400	13.181	52.5339
401	9.5	47.6667
402	11.8558	52.6058
403	36	52
404	14.5	49.5
405	4.3	52.08
406	14.9	56.5
407	9.9042	47.0748
408	7.7667	48.0333
409	5.1145	52.0918
410	5.55	52.0333
411	-2.3671	54.9902
412	21	52.3
413	30	52.3
414	10.0667	52.6
415	10.8134	47.9299
416	25.3167	54.6833
417	9.9361	49.7878
418	8.55	47.3667
419	8.55	47.3667
420	8.32213	50.3058
421	16.6166	49.2
422	6.25	48.6167
423	15	49
424	14.334	55.58
425	14.334	55.58
426	16.81	49.38
427	16.81	49.38
428	74.3667	42.3
429	73.4	42.1833
430	73.6333	42.5833
431	76.35	42.8
432	72.4667	37.35
433	2	49
434	14.775	56.0328
435	17.9103	62.7989
436	16.5	56.68
437	16	56.3
438	15.8127	56.4606
439	17.1	48.8
440	15.76	49.33
441	13.1	55.8
442	0.4	51.15
443	7	51
444	13.196	55.705
445	13.821	55.9473
446	15.7884	56.1494
447	11.2547	43.7703
448	2.3086	48.6103
449	13.74	56.07
450	15.8	57.7
451	12.9	56.4
452	12.9	56.4
453	12.9	56.4
454	2.8	41.6833
455	14.12	55.76
456	16.2815	49.4112
457	16.2815	49.4112
458	8.5	50
459	6.08	46.5
460	13.74	56.1
461	13.74	56.1
